moves,comment,good
1. d4 d5 2. c4 c6 3. e3 g6 4. Nc3 Bg7 5. Nf3 Nf6 6. Bd3 O-O 7. Ne5 dxc4 8. Bxc4 Nd5 9. f4 Be6 10. Qb3,"The opening in this games deserves long commentaries,
addressed to the opening lovers only. I think that actually it is not
meaningfull to discuss all the refinements, so ... let's go on. 10...",True
1. d4 d5 2. c4 c6 3. e3 g6 4. Nc3 Bg7 5. Nf3 Nf6 6. Bd3 O-O 7. Ne5 dxc4 8. Bxc4 Nd5 9. f4 Be6 10. Qb3 b5 11. Bxd5 Bxd5 12. Nxd5 Qxd5 13. Qxd5 cxd5,We are nearly skipping the middle game.,True
1. d4 d5 2. c4 c6 3. e3 g6 4. Nc3 Bg7 5. Nf3 Nf6 6. Bd3 O-O 7. Ne5 dxc4 8. Bxc4 Nd5 9. f4 Be6 10. Qb3 b5 11. Bxd5 Bxd5 12. Nxd5 Qxd5 13. Qxd5 cxd5 14. Nd3 Nd7 15. Bd2 Rfc8 16. Ke2 e6 17. Rhc1 Bf8 18. Rxc8 Rxc8 19. Rc1 Rxc1 20. Bxc1,"You see? We are now in the
endgame. Sometimes such endgames are very interesting and instructive. Let's
see what the two heros can show us. 20...",False
1. d4 d5 2. c4 c6 3. e3 g6 4. Nc3 Bg7 5. Nf3 Nf6 6. Bd3 O-O 7. Ne5 dxc4 8. Bxc4 Nd5 9. f4 Be6 10. Qb3 b5 11. Bxd5 Bxd5 12. Nxd5 Qxd5 13. Qxd5 cxd5 14. Nd3 Nd7 15. Bd2 Rfc8 16. Ke2 e6 17. Rhc1 Bf8 18. Rxc8 Rxc8 19. Rc1 Rxc1 20. Bxc1 Bd6 21. Bd2 Kf8 22. Bb4,Pointing out the importance on the c5 square and its control. 22...,True
1. d4 d5 2. c4 c6 3. e3 g6 4. Nc3 Bg7 5. Nf3 Nf6 6. Bd3 O-O 7. Ne5 dxc4 8. Bxc4 Nd5 9. f4 Be6 10. Qb3 b5 11. Bxd5 Bxd5 12. Nxd5 Qxd5 13. Qxd5 cxd5 14. Nd3 Nd7 15. Bd2 Rfc8 16. Ke2 e6 17. Rhc1 Bf8 18. Rxc8 Rxc8 19. Rc1 Rxc1 20. Bxc1 Bd6 21. Bd2 Kf8 22. Bb4 Ke7 23. Bc5 a6 24. b4 f6 25. g4 Bxc5 26. bxc5,"White has now a passed pawn which
is well protected. It is a big advantage. 26...",False
1. d4 d5 2. c4 c6 3. e3 g6 4. Nc3 Bg7 5. Nf3 Nf6 6. Bd3 O-O 7. Ne5 dxc4 8. Bxc4 Nd5 9. f4 Be6 10. Qb3 b5 11. Bxd5 Bxd5 12. Nxd5 Qxd5 13. Qxd5 cxd5 14. Nd3 Nd7 15. Bd2 Rfc8 16. Ke2 e6 17. Rhc1 Bf8 18. Rxc8 Rxc8 19. Rc1 Rxc1 20. Bxc1 Bd6 21. Bd2 Kf8 22. Bb4 Ke7 23. Bc5 a6 24. b4 f6 25. g4 Bxc5 26. bxc5 Nb8 27. f5 g5 28. Nb4 a5,"Wants to remove the
white Knight from b4 to be able to place his own ""blocker"" Knight in c6.",True
1. d4 d5 2. c4 c6 3. e3 g6 4. Nc3 Bg7 5. Nf3 Nf6 6. Bd3 O-O 7. Ne5 dxc4 8. Bxc4 Nd5 9. f4 Be6 10. Qb3 b5 11. Bxd5 Bxd5 12. Nxd5 Qxd5 13. Qxd5 cxd5 14. Nd3 Nd7 15. Bd2 Rfc8 16. Ke2 e6 17. Rhc1 Bf8 18. Rxc8 Rxc8 19. Rc1 Rxc1 20. Bxc1 Bd6 21. Bd2 Kf8 22. Bb4 Ke7 23. Bc5 a6 24. b4 f6 25. g4 Bxc5 26. bxc5 Nb8 27. f5 g5 28. Nb4 a5 29. c6,!! - Two well deserved exclamation marks. 29...,True
1. d4 d5 2. c4 c6 3. e3 g6 4. Nc3 Bg7 5. Nf3 Nf6 6. Bd3 O-O 7. Ne5 dxc4 8. Bxc4 Nd5 9. f4 Be6 10. Qb3 b5 11. Bxd5 Bxd5 12. Nxd5 Qxd5 13. Qxd5 cxd5 14. Nd3 Nd7 15. Bd2 Rfc8 16. Ke2 e6 17. Rhc1 Bf8 18. Rxc8 Rxc8 19. Rc1 Rxc1 20. Bxc1 Bd6 21. Bd2 Kf8 22. Bb4 Ke7 23. Bc5 a6 24. b4 f6 25. g4 Bxc5 26. bxc5 Nb8 27. f5 g5 28. Nb4 a5 29. c6 Kd6 30. fxe6,!,True
1. d4 d5 2. c4 c6 3. e3 g6 4. Nc3 Bg7 5. Nf3 Nf6 6. Bd3 O-O 7. Ne5 dxc4 8. Bxc4 Nd5 9. f4 Be6 10. Qb3 b5 11. Bxd5 Bxd5 12. Nxd5 Qxd5 13. Qxd5 cxd5 14. Nd3 Nd7 15. Bd2 Rfc8 16. Ke2 e6 17. Rhc1 Bf8 18. Rxc8 Rxc8 19. Rc1 Rxc1 20. Bxc1 Bd6 21. Bd2 Kf8 22. Bb4 Ke7 23. Bc5 a6 24. b4 f6 25. g4 Bxc5 26. bxc5 Nb8 27. f5 g5 28. Nb4 a5 29. c6 Kd6 30. fxe6 Nxc6 31. Nxc6 Kxc6 32. e4,!,True
1. d4 d5 2. c4 c6 3. e3 g6 4. Nc3 Bg7 5. Nf3 Nf6 6. Bd3 O-O 7. Ne5 dxc4 8. Bxc4 Nd5 9. f4 Be6 10. Qb3 b5 11. Bxd5 Bxd5 12. Nxd5 Qxd5 13. Qxd5 cxd5 14. Nd3 Nd7 15. Bd2 Rfc8 16. Ke2 e6 17. Rhc1 Bf8 18. Rxc8 Rxc8 19. Rc1 Rxc1 20. Bxc1 Bd6 21. Bd2 Kf8 22. Bb4 Ke7 23. Bc5 a6 24. b4 f6 25. g4 Bxc5 26. bxc5 Nb8 27. f5 g5 28. Nb4 a5 29. c6 Kd6 30. fxe6 Nxc6 31. Nxc6 Kxc6 32. e4 dxe4 33. d5+,"! - The goal is achieved: now the two pawns are protected and the
white King is ready for hunting.",True
