moves,comment,good
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Bg5 Nbd7 5. e3 Be7 6. Nc3 O-O 7. Rc1 c6 8. Bd3 a6,Pointing out a counterattack on the queenside.,True
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Bg5 Nbd7 5. e3 Be7 6. Nc3 O-O 7. Rc1 c6 8. Bd3 a6 9. O-O,The simplest one,True
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Bg5 Nbd7 5. e3 Be7 6. Nc3 O-O 7. Rc1 c6 8. Bd3 a6 9. O-O dxc4 10. Bxc4 b5 11. Bd3,A further control on the d4 square.,True
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Bg5 Nbd7 5. e3 Be7 6. Nc3 O-O 7. Rc1 c6 8. Bd3 a6 9. O-O dxc4 10. Bxc4 b5 11. Bd3 c5 12. a4 c4 13. Bb1 Nd5,In search of a clarification.,False
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Bg5 Nbd7 5. e3 Be7 6. Nc3 O-O 7. Rc1 c6 8. Bd3 a6 9. O-O dxc4 10. Bxc4 b5 11. Bd3 c5 12. a4 c4 13. Bb1 Nd5 14. Bxe7 Qxe7 15. axb5 Nxc3 16. bxc3 axb5 17. e4 Rd8 18. e5 Bb7 19. Nd2 Ra3,Pressure on the pawn c3.,True
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Bg5 Nbd7 5. e3 Be7 6. Nc3 O-O 7. Rc1 c6 8. Bd3 a6 9. O-O dxc4 10. Bxc4 b5 11. Bd3 c5 12. a4 c4 13. Bb1 Nd5 14. Bxe7 Qxe7 15. axb5 Nxc3 16. bxc3 axb5 17. e4 Rd8 18. e5 Bb7 19. Nd2 Ra3 20. f4 g6 21. Be4 Nb6 22. Bxb7 Qxb7 23. Qe1 Nd5,Forcing White to defense.,True
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Bg5 Nbd7 5. e3 Be7 6. Nc3 O-O 7. Rc1 c6 8. Bd3 a6 9. O-O dxc4 10. Bxc4 b5 11. Bd3 c5 12. a4 c4 13. Bb1 Nd5 14. Bxe7 Qxe7 15. axb5 Nxc3 16. bxc3 axb5 17. e4 Rd8 18. e5 Bb7 19. Nd2 Ra3 20. f4 g6 21. Be4 Nb6 22. Bxb7 Qxb7 23. Qe1 Nd5 24. Ne4 Ra2,"Now that the Pawn c3 is overprotected, Black puts his hand on the seventh rank.",False
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Bg5 Nbd7 5. e3 Be7 6. Nc3 O-O 7. Rc1 c6 8. Bd3 a6 9. O-O dxc4 10. Bxc4 b5 11. Bd3 c5 12. a4 c4 13. Bb1 Nd5 14. Bxe7 Qxe7 15. axb5 Nxc3 16. bxc3 axb5 17. e4 Rd8 18. e5 Bb7 19. Nd2 Ra3 20. f4 g6 21. Be4 Nb6 22. Bxb7 Qxb7 23. Qe1 Nd5 24. Ne4 Ra2 25. Qh4,Very good move which creates worrying attacking possibilities.,False
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Bg5 Nbd7 5. e3 Be7 6. Nc3 O-O 7. Rc1 c6 8. Bd3 a6 9. O-O dxc4 10. Bxc4 b5 11. Bd3 c5 12. a4 c4 13. Bb1 Nd5 14. Bxe7 Qxe7 15. axb5 Nxc3 16. bxc3 axb5 17. e4 Rd8 18. e5 Bb7 19. Nd2 Ra3 20. f4 g6 21. Be4 Nb6 22. Bxb7 Qxb7 23. Qe1 Nd5 24. Ne4 Ra2 25. Qh4 Rda8 26. Rf2 Kg7 27. Rcf1 Qe7,The queen exchange would lead to an endgame which is favorable to Black.,False
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Bg5 Nbd7 5. e3 Be7 6. Nc3 O-O 7. Rc1 c6 8. Bd3 a6 9. O-O dxc4 10. Bxc4 b5 11. Bd3 c5 12. a4 c4 13. Bb1 Nd5 14. Bxe7 Qxe7 15. axb5 Nxc3 16. bxc3 axb5 17. e4 Rd8 18. e5 Bb7 19. Nd2 Ra3 20. f4 g6 21. Be4 Nb6 22. Bxb7 Qxb7 23. Qe1 Nd5 24. Ne4 Ra2 25. Qh4 Rda8 26. Rf2 Kg7 27. Rcf1 Qe7 28. Qg3 Kh8 29. Ng5 Kg7 30. Ne4 Ra1 31. f5,Vidmar insists whith the attack. 31...,True
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Bg5 Nbd7 5. e3 Be7 6. Nc3 O-O 7. Rc1 c6 8. Bd3 a6 9. O-O dxc4 10. Bxc4 b5 11. Bd3 c5 12. a4 c4 13. Bb1 Nd5 14. Bxe7 Qxe7 15. axb5 Nxc3 16. bxc3 axb5 17. e4 Rd8 18. e5 Bb7 19. Nd2 Ra3 20. f4 g6 21. Be4 Nb6 22. Bxb7 Qxb7 23. Qe1 Nd5 24. Ne4 Ra2 25. Qh4 Rda8 26. Rf2 Kg7 27. Rcf1 Qe7 28. Qg3 Kh8 29. Ng5 Kg7 30. Ne4 Ra1 31. f5 exf5 32. Rxf5 b4,! - Yates too insists with his attack.,True
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Bg5 Nbd7 5. e3 Be7 6. Nc3 O-O 7. Rc1 c6 8. Bd3 a6 9. O-O dxc4 10. Bxc4 b5 11. Bd3 c5 12. a4 c4 13. Bb1 Nd5 14. Bxe7 Qxe7 15. axb5 Nxc3 16. bxc3 axb5 17. e4 Rd8 18. e5 Bb7 19. Nd2 Ra3 20. f4 g6 21. Be4 Nb6 22. Bxb7 Qxb7 23. Qe1 Nd5 24. Ne4 Ra2 25. Qh4 Rda8 26. Rf2 Kg7 27. Rcf1 Qe7 28. Qg3 Kh8 29. Ng5 Kg7 30. Ne4 Ra1 31. f5 exf5 32. Rxf5 b4 33. Rf2 R8a3,The pawen c3 is condemned.,False
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Bg5 Nbd7 5. e3 Be7 6. Nc3 O-O 7. Rc1 c6 8. Bd3 a6 9. O-O dxc4 10. Bxc4 b5 11. Bd3 c5 12. a4 c4 13. Bb1 Nd5 14. Bxe7 Qxe7 15. axb5 Nxc3 16. bxc3 axb5 17. e4 Rd8 18. e5 Bb7 19. Nd2 Ra3 20. f4 g6 21. Be4 Nb6 22. Bxb7 Qxb7 23. Qe1 Nd5 24. Ne4 Ra2 25. Qh4 Rda8 26. Rf2 Kg7 27. Rcf1 Qe7 28. Qg3 Kh8 29. Ng5 Kg7 30. Ne4 Ra1 31. f5 exf5 32. Rxf5 b4 33. Rf2 R8a3 34. Nd6,"Very smart. It threatens in one
shot the pawn f7, the pawn c4 and the fork Nf6+. 34...",False
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Bg5 Nbd7 5. e3 Be7 6. Nc3 O-O 7. Rc1 c6 8. Bd3 a6 9. O-O dxc4 10. Bxc4 b5 11. Bd3 c5 12. a4 c4 13. Bb1 Nd5 14. Bxe7 Qxe7 15. axb5 Nxc3 16. bxc3 axb5 17. e4 Rd8 18. e5 Bb7 19. Nd2 Ra3 20. f4 g6 21. Be4 Nb6 22. Bxb7 Qxb7 23. Qe1 Nd5 24. Ne4 Ra2 25. Qh4 Rda8 26. Rf2 Kg7 27. Rcf1 Qe7 28. Qg3 Kh8 29. Ng5 Kg7 30. Ne4 Ra1 31. f5 exf5 32. Rxf5 b4 33. Rf2 R8a3 34. Nd6 Nxc3,!! - Yates is not afraid.,True
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Bg5 Nbd7 5. e3 Be7 6. Nc3 O-O 7. Rc1 c6 8. Bd3 a6 9. O-O dxc4 10. Bxc4 b5 11. Bd3 c5 12. a4 c4 13. Bb1 Nd5 14. Bxe7 Qxe7 15. axb5 Nxc3 16. bxc3 axb5 17. e4 Rd8 18. e5 Bb7 19. Nd2 Ra3 20. f4 g6 21. Be4 Nb6 22. Bxb7 Qxb7 23. Qe1 Nd5 24. Ne4 Ra2 25. Qh4 Rda8 26. Rf2 Kg7 27. Rcf1 Qe7 28. Qg3 Kh8 29. Ng5 Kg7 30. Ne4 Ra1 31. f5 exf5 32. Rxf5 b4 33. Rf2 R8a3 34. Nd6 Nxc3 35. Qg4,Vidmar takes note.,True
