moves,comment,good
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 d6,More usual and better is 4... g5 or 4...d5 5. bxd5 bd6,True
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 d6 5. d4 Bg4 6. Qd3 Nc6 7. Bxf7+,"A decidedly mistaken idea. With this
move and the queen manuevers whi+ follow, white wins
material, but removes his queen to the far side of
the board. This at a time when blackâs pieces are 
aggressively placed, whereas white after the
disappearance of his king bishop will not have a
single piece developed! Such a move shows that in
1834 even the best players did not fully grasp the
principle of development.",True
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 d6 5. d4 Bg4 6. Qd3 Nc6 7. Bxf7+ Kxf7 8. Qb3+ Kg6,The king is very secure here,False
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 d6 5. d4 Bg4 6. Qd3 Nc6 7. Bxf7+ Kxf7 8. Qb3+ Kg6 9. Qxb7 Nxd4,A good exchange sacrifice.,False
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 d6 5. d4 Bg4 6. Qd3 Nc6 7. Bxf7+ Kxf7 8. Qb3+ Kg6 9. Qxb7 Nxd4 10. Qxa8 Nf6,"Developing, guarding his king
bishop, and preventing 11.  qe8+",False
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 d6 5. d4 Bg4 6. Qd3 Nc6 7. Bxf7+ Kxf7 8. Qb3+ Kg6 9. Qxb7 Nxd4 10. Qxa8 Nf6 11. Na3,"Unfortuneatly for white, he must develop the
knight to the side to guard his c2 pawn",False
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 d6 5. d4 Bg4 6. Qd3 Nc6 7. Bxf7+ Kxf7 8. Qb3+ Kg6 9. Qxb7 Nxd4 10. Qxa8 Nf6 11. Na3 f3,Breaking in to White's king position,False
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 d6 5. d4 Bg4 6. Qd3 Nc6 7. Bxf7+ Kxf7 8. Qb3+ Kg6 9. Qxb7 Nxd4 10. Qxa8 Nf6 11. Na3 f3 12. g3 Bh3+ 13. Ke1 Qg4 14. Be3,Developing and attacking black's queen knight,False
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 d6 5. d4 Bg4 6. Qd3 Nc6 7. Bxf7+ Kxf7 8. Qb3+ Kg6 9. Qxb7 Nxd4 10. Qxa8 Nf6 11. Na3 f3 12. g3 Bh3+ 13. Ke1 Qg4 14. Be3 d5,a well thought out winning move. Bb4+ winning queen is threatened,False
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 d6 5. d4 Bg4 6. Qd3 Nc6 7. Bxf7+ Kxf7 8. Qb3+ Kg6 9. Qxb7 Nxd4 10. Qxa8 Nf6 11. Na3 f3 12. g3 Bh3+ 13. Ke1 Qg4 14. Be3 d5 15. Qxa7 Nc6 16. Qxc7,If 16. Qa4 d4 17. bf4 (If 17. bd2  Qxe4+ and f7 wins or 17. Qxc6 dxe3 wins) 17...Bb4+  18. c3  dxc3 wins,True
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 d6 5. d4 Bg4 6. Qd3 Nc6 7. Bxf7+ Kxf7 8. Qb3+ Kg6 9. Qxb7 Nxd4 10. Qxa8 Nf6 11. Na3 f3 12. g3 Bh3+ 13. Ke1 Qg4 14. Be3 d5 15. Qxa7 Nc6 16. Qxc7 d4 17. Bd2,If Bf4 Bb4+ 18. c3 (18. Kf2 Nxe4+ 18...dxc3 wins or 17. Qxc6 dxe3 and White's king is completely encircled),True
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 d6 5. d4 Bg4 6. Qd3 Nc6 7. Bxf7+ Kxf7 8. Qb3+ Kg6 9. Qxb7 Nxd4 10. Qxa8 Nf6 11. Na3 f3 12. g3 Bh3+ 13. Ke1 Qg4 14. Be3 d5 15. Qxa7 Nc6 16. Qxc7 d4 17. Bd2 Qxe4+ 18. Kd1 f2 19. Nxh3 Qf3+,and black won. Mate is forced after 20. Kc1 Qxh1+ or 20...f1=Q+.,True
