moves,comment,good
1. Nf3,E05: Open Catalan: 5 Nf3 Be7,False
1. Nf3 d5 2. d4 e6 3. g3 Nf6 4. Bg2 Be7 5. O-O O-O 6. c4 dxc4 7. Qc2 a6 8. a4 Nc6 9. Qxc4 Qd5 10. Nbd2 Rd8,d4 becomes the focus of attention,False
1. Nf3 d5 2. d4 e6 3. g3 Nf6 4. Bg2 Be7 5. O-O O-O 6. c4 dxc4 7. Qc2 a6 8. a4 Nc6 9. Qxc4 Qd5 10. Nbd2 Rd8 11. e3 Qh5 12. e4 Bd7 13. b3 b5 14. Qc3 Be8 15. axb5 axb5 16. Rxa8 Rxa8 17. Bb2 Ra2 18. Qc1 Qh6 19. h3 g6 20. Re1 Qf8,last book move,True
1. Nf3 d5 2. d4 e6 3. g3 Nf6 4. Bg2 Be7 5. O-O O-O 6. c4 dxc4 7. Qc2 a6 8. a4 Nc6 9. Qxc4 Qd5 10. Nbd2 Rd8 11. e3 Qh5 12. e4 Bd7 13. b3 b5 14. Qc3 Be8 15. axb5 axb5 16. Rxa8 Rxa8 17. Bb2 Ra2 18. Qc1 Qh6 19. h3 g6 20. Re1 Qf8 21. Qb1 Nb4,A sound move,False
1. Nf3 d5 2. d4 e6 3. g3 Nf6 4. Bg2 Be7 5. O-O O-O 6. c4 dxc4 7. Qc2 a6 8. a4 Nc6 9. Qxc4 Qd5 10. Nbd2 Rd8 11. e3 Qh5 12. e4 Bd7 13. b3 b5 14. Qc3 Be8 15. axb5 axb5 16. Rxa8 Rxa8 17. Bb2 Ra2 18. Qc1 Qh6 19. h3 g6 20. Re1 Qf8 21. Qb1 Nb4 22. Ne5 Nd7 23. Bc3 Ra6 24. Nxd7 Bxd7 25. Nf3 Qa8 26. Ne5 Bc6 27. Qd1 Na2 28. Bb2 b4 29. d5,White gains space,False
1. Nf3 d5 2. d4 e6 3. g3 Nf6 4. Bg2 Be7 5. O-O O-O 6. c4 dxc4 7. Qc2 a6 8. a4 Nc6 9. Qxc4 Qd5 10. Nbd2 Rd8 11. e3 Qh5 12. e4 Bd7 13. b3 b5 14. Qc3 Be8 15. axb5 axb5 16. Rxa8 Rxa8 17. Bb2 Ra2 18. Qc1 Qh6 19. h3 g6 20. Re1 Qf8 21. Qb1 Nb4 22. Ne5 Nd7 23. Bc3 Ra6 24. Nxd7 Bxd7 25. Nf3 Qa8 26. Ne5 Bc6 27. Qd1 Na2 28. Bb2 b4 29. d5 Be8 30. Ng4 Nc3,Here comes the goal-getter,False
1. Nf3 d5 2. d4 e6 3. g3 Nf6 4. Bg2 Be7 5. O-O O-O 6. c4 dxc4 7. Qc2 a6 8. a4 Nc6 9. Qxc4 Qd5 10. Nbd2 Rd8 11. e3 Qh5 12. e4 Bd7 13. b3 b5 14. Qc3 Be8 15. axb5 axb5 16. Rxa8 Rxa8 17. Bb2 Ra2 18. Qc1 Qh6 19. h3 g6 20. Re1 Qf8 21. Qb1 Nb4 22. Ne5 Nd7 23. Bc3 Ra6 24. Nxd7 Bxd7 25. Nf3 Qa8 26. Ne5 Bc6 27. Qd1 Na2 28. Bb2 b4 29. d5 Be8 30. Ng4 Nc3 31. Qf3 h5 32. Nf6+ Bxf6 33. Qxf6 exd5 34. Qd4 Ra2 35. Qxb4 Nb5 36. Bf6 Qa7,Do you see the mate threat?,True
1. Nf3 d5 2. d4 e6 3. g3 Nf6 4. Bg2 Be7 5. O-O O-O 6. c4 dxc4 7. Qc2 a6 8. a4 Nc6 9. Qxc4 Qd5 10. Nbd2 Rd8 11. e3 Qh5 12. e4 Bd7 13. b3 b5 14. Qc3 Be8 15. axb5 axb5 16. Rxa8 Rxa8 17. Bb2 Ra2 18. Qc1 Qh6 19. h3 g6 20. Re1 Qf8 21. Qb1 Nb4 22. Ne5 Nd7 23. Bc3 Ra6 24. Nxd7 Bxd7 25. Nf3 Qa8 26. Ne5 Bc6 27. Qd1 Na2 28. Bb2 b4 29. d5 Be8 30. Ng4 Nc3 31. Qf3 h5 32. Nf6+ Bxf6 33. Qxf6 exd5 34. Qd4 Ra2 35. Qxb4 Nb5 36. Bf6 Qa7 37. Re3 d4 38. Qe7,Threatening mate... how?,True
1. Nf3 d5 2. d4 e6 3. g3 Nf6 4. Bg2 Be7 5. O-O O-O 6. c4 dxc4 7. Qc2 a6 8. a4 Nc6 9. Qxc4 Qd5 10. Nbd2 Rd8 11. e3 Qh5 12. e4 Bd7 13. b3 b5 14. Qc3 Be8 15. axb5 axb5 16. Rxa8 Rxa8 17. Bb2 Ra2 18. Qc1 Qh6 19. h3 g6 20. Re1 Qf8 21. Qb1 Nb4 22. Ne5 Nd7 23. Bc3 Ra6 24. Nxd7 Bxd7 25. Nf3 Qa8 26. Ne5 Bc6 27. Qd1 Na2 28. Bb2 b4 29. d5 Be8 30. Ng4 Nc3 31. Qf3 h5 32. Nf6+ Bxf6 33. Qxf6 exd5 34. Qd4 Ra2 35. Qxb4 Nb5 36. Bf6 Qa7 37. Re3 d4 38. Qe7 Nd6 39. Rd3 Qa6 40. Rd1 Qe2,Threatening mate: Qxf2,False
1. Nf3 d5 2. d4 e6 3. g3 Nf6 4. Bg2 Be7 5. O-O O-O 6. c4 dxc4 7. Qc2 a6 8. a4 Nc6 9. Qxc4 Qd5 10. Nbd2 Rd8 11. e3 Qh5 12. e4 Bd7 13. b3 b5 14. Qc3 Be8 15. axb5 axb5 16. Rxa8 Rxa8 17. Bb2 Ra2 18. Qc1 Qh6 19. h3 g6 20. Re1 Qf8 21. Qb1 Nb4 22. Ne5 Nd7 23. Bc3 Ra6 24. Nxd7 Bxd7 25. Nf3 Qa8 26. Ne5 Bc6 27. Qd1 Na2 28. Bb2 b4 29. d5 Be8 30. Ng4 Nc3 31. Qf3 h5 32. Nf6+ Bxf6 33. Qxf6 exd5 34. Qd4 Ra2 35. Qxb4 Nb5 36. Bf6 Qa7 37. Re3 d4 38. Qe7 Nd6 39. Rd3 Qa6 40. Rd1 Qe2 41. Rf1 d3,Don't underestimate that pawn,True
