moves,comment,good
1. e4,B52: Sicilian: Moscow Variation with 3...Bd7,True
1. e4 c5 2. Nf3 d6,Prevents intrusion on e5,False
1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7 4. Bxd7+ Qxd7 5. c4 Nf6 6. Nc3 Nc6 7. O-O g6 8. d4 cxd4 9. Nxd4 Bg7 10. Nde2 O-O 11. f3,Controls g4,False
1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7 4. Bxd7+ Qxd7 5. c4 Nf6 6. Nc3 Nc6 7. O-O g6 8. d4 cxd4 9. Nxd4 Bg7 10. Nde2 O-O 11. f3 a6,Consolidates b5,True
1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7 4. Bxd7+ Qxd7 5. c4 Nf6 6. Nc3 Nc6 7. O-O g6 8. d4 cxd4 9. Nxd4 Bg7 10. Nde2 O-O 11. f3 a6 12. a4 Rfc8 13. b3 Qd8 14. Kh1 Nd7 15. Bg5 Qa5 16. Qd2 Nc5 17. Rab1 e6,Secures d5,False
1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7 4. Bxd7+ Qxd7 5. c4 Nf6 6. Nc3 Nc6 7. O-O g6 8. d4 cxd4 9. Nxd4 Bg7 10. Nde2 O-O 11. f3 a6 12. a4 Rfc8 13. b3 Qd8 14. Kh1 Nd7 15. Bg5 Qa5 16. Qd2 Nc5 17. Rab1 e6 18. Rfd1 Rab8 19. Bh4 Qb6 20. Qxd6 Be5 21. Qd2 Nxb3 22. Qb2 Nca5 23. Nd5,Threatening mate: Ne7,True
1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7 4. Bxd7+ Qxd7 5. c4 Nf6 6. Nc3 Nc6 7. O-O g6 8. d4 cxd4 9. Nxd4 Bg7 10. Nde2 O-O 11. f3 a6 12. a4 Rfc8 13. b3 Qd8 14. Kh1 Nd7 15. Bg5 Qa5 16. Qd2 Nc5 17. Rab1 e6 18. Rfd1 Rab8 19. Bh4 Qb6 20. Qxd6 Be5 21. Qd2 Nxb3 22. Qb2 Nca5 23. Nd5 exd5 24. Qxe5 Nxc4,The knight dominates,False
1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7 4. Bxd7+ Qxd7 5. c4 Nf6 6. Nc3 Nc6 7. O-O g6 8. d4 cxd4 9. Nxd4 Bg7 10. Nde2 O-O 11. f3 a6 12. a4 Rfc8 13. b3 Qd8 14. Kh1 Nd7 15. Bg5 Qa5 16. Qd2 Nc5 17. Rab1 e6 18. Rfd1 Rab8 19. Bh4 Qb6 20. Qxd6 Be5 21. Qd2 Nxb3 22. Qb2 Nca5 23. Nd5 exd5 24. Qxe5 Nxc4 25. Qxd5,White creates threats along the open d-file,False
1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7 4. Bxd7+ Qxd7 5. c4 Nf6 6. Nc3 Nc6 7. O-O g6 8. d4 cxd4 9. Nxd4 Bg7 10. Nde2 O-O 11. f3 a6 12. a4 Rfc8 13. b3 Qd8 14. Kh1 Nd7 15. Bg5 Qa5 16. Qd2 Nc5 17. Rab1 e6 18. Rfd1 Rab8 19. Bh4 Qb6 20. Qxd6 Be5 21. Qd2 Nxb3 22. Qb2 Nca5 23. Nd5 exd5 24. Qxe5 Nxc4 25. Qxd5 Qe3 26. Re1 Nbd2 27. Rxb7 Rxb7 28. Qxb7,The mate threat is Qxc8,False
1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7 4. Bxd7+ Qxd7 5. c4 Nf6 6. Nc3 Nc6 7. O-O g6 8. d4 cxd4 9. Nxd4 Bg7 10. Nde2 O-O 11. f3 a6 12. a4 Rfc8 13. b3 Qd8 14. Kh1 Nd7 15. Bg5 Qa5 16. Qd2 Nc5 17. Rab1 e6 18. Rfd1 Rab8 19. Bh4 Qb6 20. Qxd6 Be5 21. Qd2 Nxb3 22. Qb2 Nca5 23. Nd5 exd5 24. Qxe5 Nxc4 25. Qxd5 Qe3 26. Re1 Nbd2 27. Rxb7 Rxb7 28. Qxb7 Re8 29. Qd7,Do you see the mate threat?,False
1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7 4. Bxd7+ Qxd7 5. c4 Nf6 6. Nc3 Nc6 7. O-O g6 8. d4 cxd4 9. Nxd4 Bg7 10. Nde2 O-O 11. f3 a6 12. a4 Rfc8 13. b3 Qd8 14. Kh1 Nd7 15. Bg5 Qa5 16. Qd2 Nc5 17. Rab1 e6 18. Rfd1 Rab8 19. Bh4 Qb6 20. Qxd6 Be5 21. Qd2 Nxb3 22. Qb2 Nca5 23. Nd5 exd5 24. Qxe5 Nxc4 25. Qxd5 Qe3 26. Re1 Nbd2 27. Rxb7 Rxb7 28. Qxb7 Re8 29. Qd7 Rb8 30. Bg3 Nxf3 31. Bxb8,With the decisive threat Qc8,True
1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7 4. Bxd7+ Qxd7 5. c4 Nf6 6. Nc3 Nc6 7. O-O g6 8. d4 cxd4 9. Nxd4 Bg7 10. Nde2 O-O 11. f3 a6 12. a4 Rfc8 13. b3 Qd8 14. Kh1 Nd7 15. Bg5 Qa5 16. Qd2 Nc5 17. Rab1 e6 18. Rfd1 Rab8 19. Bh4 Qb6 20. Qxd6 Be5 21. Qd2 Nxb3 22. Qb2 Nca5 23. Nd5 exd5 24. Qxe5 Nxc4 25. Qxd5 Qe3 26. Re1 Nbd2 27. Rxb7 Rxb7 28. Qxb7 Re8 29. Qd7 Rb8 30. Bg3 Nxf3 31. Bxb8 Qxe4,shortens the misery for Black,True
