comment,moves,context,engine_eval,engine_best_line,engine_best_alternative
"This variation has a mixed reputation. On the one hand, Black concedes some space to White without much of a struggle, creating the pawn formation that Hans Kmoch would immortalize as the ""French Jump Formation."" On the other hand, Black's position resembles a brick: small, compact, hard to crack. Blackmar-Diemer Gambit fans are apt to play f3 here, counting on the materialistic nature of the average French player to make him munch the pawn.",1. e4 e6 2. d4 d5 3. Nc3 dxe4,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: Black plays Pawn takes on e4,Slight advantage for White (eval: 39 centipawns),4. Nxe4 Nd7 ,3... Nf6 
"Najdorf just takes it off: he's interested in fluid development with a slight but pleasant spatial advantage without a material sacrifice. (4.f3 exf3 5.Nxf3 Nf6 By transposition, then, we'd have the Euwe Defense to the BDG. The Euwe Defense has a pretty good theoretical reputation at present thanks to endorsements from GM Joe Gallagher and the Watson & Schiller analytical team. But it's not clear that this reputation is deserved since there are some improvements for White on the aforementioned analysis. In any event, what makes the 4.f3 line less attractive for White is the fact that Black can simply ignore it, like so: 4...e3 Now White has no open f-file, his f-pawn stunts his Kingside development, and the pawn formation is otherwise the same as he would get by just taking the pawn on e4.)",1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: White plays Knight takes on e4,Slight advantage for White (eval: 38 centipawns),4... Nd7 ,4. Nxe4 Nd7 
"Partly because of the uncomfortable position of a Queen on f6, Black prepares the Knight exchange by playing Nbd7. Black would like to exchange off this strong N/e4, but the most natural way to do it can lead to trouble. 4...Nf6 Every time I give a simultaneous exhibition, I look to catch another victim in some version of the following age-old trap: 5.Nxf6+ Qxf6 6.Nf3 b6 7.Bd3 White weaves a nefarious web; Black plans a counter-blow. 7...Bb7 8.Bg5 Oh no! Is the Queen caught? 8...Bxf3 No she isn't! 9.Qd2 Yes she is!!! 9...Qxd4 No! 10.Bb5+ Yes!! Variants of this trap come up in many different openings. Whenever I teach the Colle System to a beginner, I make a point of illustrating how it can arise there -- and I have had more than one student come back and tell me tales of Queens netted like this!",1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: Black plays Knight to d7,Advantage for White (eval: 55 centipawns),5. Nf3 Ngf6 ,4... Nd7 
"Najdorf, imperturbably confident in his slight spatial and developmental edge, continues to bring out his pieces.",1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: White plays Knight to f3,Slight advantage for White (eval: 44 centipawns),5... Ngf6 6. Nxf6+ Nxf6 7. c3 a6 8. Ne5 c5 9. Be3 Qc7 10. Qa4+ Nd7 11. O-O-O Be7 12. Bd3 O-O 13. Nxd7 Bxd7 14. Qc2 g6 15. h4 cxd4 16. Bxd4 Bc5 17. Bxc5 Qxc5 18. h5 Qg5+ 19. Kb1 ,5. Nf3 Ngf6 
"How should we assess the position here? White's spatial advantage is worth the most when Black is cramped, with too many pieces on the board and too little space for maneuvering them. It makes good sense, therefore, for Black to swap off a pair of Knights. Makes sense -- but also takes time, and a single pair of Knights isn't all he'd like to get rid of. (6...Nxe4 7.Bxe4 Nf6 8.Bd3 After a tit-for-tat like this, Black is still left with a deficit in space and, importantly, a trapped B/c8.)",1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: White plays Bishop to d3,Slight advantage for White (eval: 39 centipawns),6... Nxe4 ,6. Nxf6+ Nxf6 
"Shapiro decides to defer the exchanges and concentrate on getting his Queenside untangled. To that end, he fianchettoes the B/c8.",1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: Black plays Bishop to e7,Advantage for White (eval: 59 centipawns),7. Nxf6+ Nxf6 8. Qe2 Bd7 9. Ne5 Ba4 10. c3 O-O 11. O-O c5 12. dxc5 Bxc5 13. Bg5 Be7 14. Rfe1 Rc8 15. Bh4 a6 16. Bg3 Qc7 17. Ng4 ,6... Nxe4 
What square does this move weaken? c6! Najdorf seizes the opportunity to take a peek at that square.,1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: Black plays Pawn to b6,Advantage for White (eval: 70 centipawns),8. Ne5 Nxe5 ,7... O-O 8. Nxf6+ 
"He's threatening Nc6 now, and if Black captures on e5, watch: 8...Nxe5 9.dxe5 Nxe4 10.Bxe4 The exchanges have opened up some space but now Black's pieces look badly-placed. 10...Qxd1 11.Rxd1 Rb8 12.Bc6+ Kf8 This is not a happy position for Black, despite the material equality. His pieces lack good squares and White is pretty obviously going to be coming down the d-file in the very near future. For example: 13.Be3 Bb7 14.Bxb7 Rxb7 15.Rd7 ...with Rad1 to come. White hasn't won material yet, but Black is being squeezed badly.",1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: White plays Knight to e5,Large advantage for White (eval: 101 centipawns),8... Nxe5 ,8. Ne5 Nxe5 
"Shapiro, reasonably enough, figures that there's nothing much to fuss about as long as he covers his c6 square.",1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5 Bb7,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: Black plays Bishop to b7,Large advantage for White (eval: 213 centipawns),9. Nxf7 Kxf7 10. Ng5+ Kg8 11. Nxe6 Qc8 12. Re1 Bd6 13. Bc4 b5 14. Bb3 Bd5 15. Bxd5 Nxd5 16. Bh6 N7f6 17. Bxg7 Kf7 18. Bxh8 Qxh8 19. Qb1 ,8... Nxe5 9. dxe5 Nxe4 10. Bxe4 Qxd1 11. Rxd1 Rb8 12. Bc6+ Kf8 13. b4 Bb7 14. b5 Bxc6 15. bxc6 Ke8 16. Bb2 Rd8 17. Kf1 Rf8 18. Rxd8+ Bxd8 19. a4 f6 20. a5 Rf7 21. g3 fxe5 22. Bxe5 Bf6 23. axb6 cxb6 
"Najdorf, however, has a keener sense of the tactical usefulness of a N on e5. Black has three possible recaptures. Which one is best? 9...Nxf6 This is the most natural way to recapture -- yet it is precisely against this move that Najdorf's idea can be put into action. 10.Bb5+! Kf8 Because of the combined force of Bishop and Knight covering c6 and d7, Black is obliged to forfeit castling now.Perhaps you're thinking, ""So what? The King looks pretty safe on f8."" But the point is that in the long run Black's position will be even less coordinated than it is now -- he would have real difficulties getting his pieces into action. Already one of the difficulties he faces from being cramped, he should really want to avoid it -- whether or not there are immediate tactical consequences.",1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Be7 7. O-O b6 8. Ne5 Bb7 9. Nxf6+,This is a game between Najdorf (as White) and Shapiro (as Black). Last move played: White plays Knight takes on f6 with check,The position is equal,9... Bxf6 ,9. Nxf7 Kxf7 10. Ng5+ Kg8 11. Nxe6 Qc8 12. Re1 Bd6 13. Bc4 b5 14. Bb3 Bd5 15. Bxd5 Nxd5 16. Bh6 N7f6 17. Bxg7 Kf7 18. Bxh8 Qxh8 19. Qb1 
